,id_limpio,title,author,subjects
39330,45438,La isla del tesoro,"Stevenson, Robert Louis","{'Sea stories', 'Treasure troves -- Fiction', 'Treasure Island (Imaginary place) -- Fiction', 'Pirates -- Fiction'}"
39408,45508,La Política de los Estados Unidos en el Continente Americano,"Cárdenas y Echarte, Raúl de","{'Latin America -- Foreign relations -- United States', 'Monroe doctrine', 'United States -- Foreign relations -- Latin America', 'United States -- Territorial expansion'}"
39699,45770,Cocina moderna,Anonymous,{'Cooking'}
39764,45829,"La araña negra, t. 1/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39766,45830,"La araña negra, t. 2/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39767,45831,"La araña negra, t. 3/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39768,45832,"La araña negra, t. 4/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39769,45833,"La araña negra, t. 5/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39770,45834,"La araña negra, t. 6/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39771,45835,"La araña negra, t. 7/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39772,45836,"La araña negra, t. 8/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39773,45837,"La araña negra, t. 9/9","Blasco Ibáñez, Vicente","{'Historical fiction', 'Jesuits -- Spain -- History -- 19th century -- Fiction', 'Spanish fiction -- 19th century'}"
39893,45945,Antaño i Ogaño: Novelas i Cuentos de la Vida Hispano-Americana,"Lastarria, José Victorino",{'Chilean fiction'}
39956,46000,Cuentos ingenuos,"Trigo, Felipe","{'Short stories, Spanish', 'Spanish fiction -- 20th century'}"
40157,46182,Sonata de otoño; Sonata de invierno: memorias del Marqués de Bradomín,"Valle-Inclán, Ramón del",{'Spanish fiction -- 20th century'}
40172,46196,"Cuentos Clásicos del Norte, Primera Serie","Poe, Edgar Allan","{'Poe, Edgar Allan, 1809-1849 -- Translations into Spanish', 'American literature -- Translations into Spanish', 'Horror tales, American -- Translations into Spanish'}"
40179,46201,"Orlando Furioso, Tomo I","Ariosto, Lodovico",{'Roland (Legendary character) -- Romances'}
40228,46246,"Historia General del Derecho Español, Tomo I","Hinojosa, Eduardo de",{'Law -- Spain -- History'}
40249,46265,"María Luisa, Leyenda Histórica","Portillo, Andrés",{'Historical fiction'}
40264,46279,Los Merodeadores de Fronteras,"Aimard, Gustave","{'Texas -- History -- To 1846 -- Fiction', 'Western stories'}"
40505,46496,"Cuentos Clásicos del Norte, Segunda Serie","Irving, Washington",{'American literature -- Translations into Spanish'}
40811,46771,Comentarios a la Constitucion de los Estados Unidos de América,"Kent, James",{'Constitutional law -- United States'}
41124,47052,Un libro para las damas: Estudios acerca de la educación de la mujer,"Sinués de Marco, María del Pilar","{'Family life education', 'Women -- Education'}"
41129,47057,Las inquietudes de Shanti Andía,"Baroja, Pío","{'Sea stories', 'Slave trade -- Fiction', 'Ship captains -- Fiction'}"
41168,47092,Historia de la decadencia de España,"Cánovas del Castillo, Antonio","{'Spain -- History -- Philip III, 1598-1621', 'Spain -- History -- Philip IV, 1621-1665', 'Degeneration -- History -- 17th century', 'Spain -- History -- Charles II, 1665-1700'}"
41181,47103,El aprendiz de conspirador,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
41270,47184,Antología portorriqueña: Prosa y verso,"Fernández Juncos, Manuel","{'Authors, Puerto Rican', 'Spanish language -- Readers', 'Puerto Rican literature'}"
41384,47287,El libro de las mil noches y una noche; t. 1,Anonymous,"{'Arabs -- Folklore', 'Tales -- Arab countries', 'Folklore -- Arab countries', 'Fairy tales', 'Fairy tales -- Arab countries'}"
41450,47346,"Escritos políticos, económicos y literarios","Varela, Florencio","{'Argentina -- Politics and government -- 1817-1860', 'Argentina -- History -- 1817-1860', 'Argentine literature', 'Argentina -- Economic conditions'}"
41496,47388,Agua de Nieve (Novela),"Espina, Concha",{'Spanish fiction -- 20th century'}
41701,47572,La vieja verde: Estudios al natural,"Fernández y González, Manuel",{'Historical fiction'}
41714,47584,"Noli me tángere: Novela Tagala, Edición completa con notas de R. Sempau","Rizal, José","{'Historical fiction', 'Philippines -- History -- 1812-1898 -- Fiction'}"
41767,47631,El libro de las mil noches y una noche; t. 2,Anonymous,"{'Arabs -- Folklore', 'Tales -- Arab countries', 'Folklore -- Arab countries', 'Fairy tales', 'Fairy tales -- Arab countries'}"
41788,47650,Prosas Profanas: Obras Completas Vol. II,"Darío, Rubén",{'Nicaraguan poetry'}
41918,47768,La Gente Cursi: Novela de Costumbres Ridículas,"Ortega y Frías, Ramón",{'Spanish fiction -- 19th century'}
41936,47784,Sí sé por qué: Novela,"Trigo, Felipe",{'Spanish fiction -- 20th century'}
42267,48081,Ruecas de Marfil (Novelas),"Espina, Concha",{'Spanish fiction -- 20th century'}
42278,48091,"La familia de León Roch, Tomo 1","Pérez Galdós, Benito",{'Spanish fiction'}
42279,48092,"La familia de León Roch, Tomo 2","Pérez Galdós, Benito",{'Spanish fiction'}
42280,48093,"La familia de León Roch, Tomos 1 y 2","Pérez Galdós, Benito",{'Spanish fiction'}
42513,48302,La enferma: novela,"Zamacois, Eduardo",{'Spanish fiction'}
42900,48651,"Viaje a America, Tomo 1 de 2: Estados Unidos, Exposición Universal de Chicago, México, Cuba y Puerto Rico","Puig y Valls, Rafael","{'Mexico -- Description and travel', 'Cuba -- Description and travel', 'United States -- Description and travel', ""World's Columbian Exposition (1893 : Chicago, Ill.)""}"
42901,48652,"Viaje a America, Tomo 2 de 2: Estados Unidos, Exposición Universal de Chicago, México, Cuba y Puerto Rico","Puig y Valls, Rafael","{'Mexico -- Description and travel', 'Cuba -- Description and travel', 'United States -- Description and travel', ""World's Columbian Exposition (1893 : Chicago, Ill.)""}"
42903,48654,Incesto: novela original,"Zamacois, Eduardo",{'Spanish fiction'}
42921,48670,Teatro galante,"Zamacois, Eduardo",{'Spanish drama'}
43046,48783,El Escuadrón del Brigante,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction', 'Spain -- History -- Napoleonic Conquest, 1808-1813 -- Fiction'}"
43128,48857,Figuras americanas: Galería de hombres illustres,"Pérez, Miguel Agustin",{'America -- Biography'}
43180,48903,El libro de las mil noches y una noche; t. 3,Anonymous,"{'Arabs -- Folklore', 'Tales -- Arab countries', 'Folklore -- Arab countries', 'Fairy tales', 'Fairy tales -- Arab countries'}"
43221,48940,Lucrecia Borja: Estudio Histórico,"Villa-Urrutia, W. R. de","{'Italy -- History -- 1492-1559', 'Borgia, Lucrezia, 1480-1519'}"
43225,48944,Gloria (primera parte),"Pérez Galdós, Benito","{'Catholic Church -- Spain -- Clergy -- Fiction', 'Spain -- Fiction'}"
43226,48945,Gloria (segunda parte),"Pérez Galdós, Benito","{'Catholic Church -- Spain -- Clergy -- Fiction', 'Spain -- Fiction'}"
43227,48946,Gloria (novela completa),"Pérez Galdós, Benito","{'Catholic Church -- Spain -- Clergy -- Fiction', 'Spain -- Fiction'}"
43236,48954,Despertar Para Morir (Novela),"Espina, Concha",{'Spanish fiction -- 20th century'}
43303,49013,La venganza de Don Mendo,"Muñoz Seca, Pedro",{'Spanish drama'}
43358,49063,"Orlando Furioso, Tomo II","Ariosto, Lodovico",{'Roland (Legendary character) -- Romances'}
43453,49149,Amor y Pedagogía,"Unamuno, Miguel de","{'Stream of consciousness fiction', 'Spanish fiction', 'Psychological fiction'}"
43574,49258,Crónica de la conquista de Granada (1 de 2),"Irving, Washington","{'Granada (Spain : Reino) -- History -- Spanish Conquest, 1476-1492'}"
43575,49259,Crónica de la conquista de Granada (2 de 2),"Irving, Washington","{'Granada (Spain : Reino) -- History -- Spanish Conquest, 1476-1492'}"
43599,49280,Los Caminos del Mundo,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
43618,49298,Historia de las Indias (vol. 1 de 5),"Casas, Bartolomé de las","{'America -- Discovery and exploration -- Spanish -- Early works to 1800', 'Columbus, Christopher, 1451-1506 -- Early works to 1800', 'Spain -- Colonies -- America -- Early works to 1800', 'Indians, Treatment of -- Latin America -- Early works to 1800'}"
43658,49333,Coplas por la muerte de su padre,"Manrique, Jorge",{'Bereavement -- Poetry'}
43681,49354,"Viaje a los Estados Unidos, Tomo I","Prieto, Guillermo",{'United States -- Description and travel'}
43686,49359,"El Campesino Puertorriqueño: Sus Condiciones Físicas, Intelectuales y Morales, Causas que la Determinan y Medios Para Mejorarlas","Valle Atiles, Francisco del","{'Puerto Rico -- Economic conditions', 'Ethnology -- Puerto Rico', 'Peasants -- Puerto Rico'}"
43705,49376,Del Plata al Niagara,"Groussac, Paul","{'America -- Description and travel', 'Groussac, Paul, 1848-1929', 'Latin America -- Description and travel', 'United States -- Description and travel'}"
43718,49388,Sotileza,"Pereda, José María de","{'Spanish fiction -- 19th century', 'Fishers -- Fiction'}"
43747,49413,El señor de Bembibre,"Gil y Carrasco, Enrique","{'Historical fiction', 'Spanish fiction -- 19th century'}"
43751,49417,"Las máscaras, vol. 1/2","Pérez de Ayala, Ramón",{'Drama -- History and criticism'}
43752,49418,"Las máscaras, vol. 2/2","Pérez de Ayala, Ramón",{'Drama -- History and criticism'}
43769,49433,Zaragoza,"Pérez Galdós, Benito","{'Sieges -- Fiction', 'Historical fiction', 'Zaragoza (Spain) -- History -- Siege, 1808-1809 -- Fiction'}"
43773,49437,Páginas escogidas,"Machado, Antonio",{'Spanish poetry'}
43810,49470,Con la Pluma y con el Sable: Crónica de 1820 a 1823,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
43910,49560,"Monja y casada, vírgen y mártir","Riva Palacio, Vicente","{'Mexico -- History -- Spanish colony, 1540-1810 -- Fiction'}"
44021,49660,La alhambra; leyendas árabes,"Fernández y González, Manuel",{'Historical fiction'}
44127,49756,La Quimera,"Pardo Bazán, Emilia, condesa de",{'Spanish fiction -- 20th century'}
44216,49836,Niebla (Nivola),"Unamuno, Miguel de","{'Experimental fiction', 'Spanish fiction -- 20th century'}"
44303,49914,Cancionero de Lope de Stúñiga: Códice del siglo XV.,,{'Spanish poetry -- To 1500'}
44430,50027,El sí de las niñas,"Fernández de Moratín, Leandro",{'Spanish drama (Comedy)'}
44540,50126,Los Recursos de la Astucia,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
44723,50291,"Retrato de la Lozana Andaluza: En lengua española muy clarísima, compuesto en Roma.","Delicado, Francisco, active 16th century","{'Spanish fiction -- Classical period, 1500-1700', 'Picaresque literature'}"
44779,50341,"Cantos de Vida y Esperanza, Los Cisnes y otros poemas.: Obras Completas Vol. VII","Darío, Rubén",{'Nicaraguan poetry'}
44790,50351,Historia de las Indias (vol. 2 de 5),"Casas, Bartolomé de las","{'America -- Discovery and exploration -- Spanish -- Early works to 1800', 'Columbus, Christopher, 1451-1506 -- Early works to 1800', 'Spain -- Colonies -- America -- Early works to 1800', 'Indians, Treatment of -- Latin America -- Early works to 1800'}"
44805,50365,Los Raros: Obras Completas Vol. VI,"Darío, Rubén","{'Symbolism (Literary movement)', 'Literature, Modern -- 19th century -- History and criticism'}"
44878,50430,Historia natural y moral de las Indias (vol. 2 of 2),"Acosta, José de","{'Natural history -- America', 'Indians of South America -- Early works to 1800', 'Acosta, José de, 1540-1600 -- Travel -- America', 'Indians of Mexico -- Early works to 1800', 'America -- Early accounts to 1600', 'America -- Description and travel'}"
44885,50437,"Colección de Documentos Inéditos Relativos al Descubrimiento, Conquista y Organización de las Antiguas Posesiones Españolas de Ultramar. Tomo 2, De Las Islas Filipinas, I",,"{'Philippines -- Discovery and exploration -- Spanish', 'Philippines -- History -- Sources', 'Spain -- Colonies'}"
44946,50492,Historia de Gil Blas de Santillana: Novela (Vol 1 de 3),"Le Sage, Alain René","{'Blas, Gil (Fictitious character) -- Fiction', 'Adventure and adventurers -- Fiction'}"
44984,50526,"Comentario del coronel Francisco Verdugo, de la guerra de Frisia,: en xiv años que fue gobernador y capitan general de aquel estado y ejercito por el rey don Felipe II, nuestro señor","Verdugo, Francisco","{""Netherlands -- History -- Eighty Years' War, 1568-1648""}"
45206,50726,La Ruta del Aventurero,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
45240,50757,La cita: novelas,"Zamacois, Eduardo",{'Spanish fiction'}
45532,51019,"La Biblia en España, Tomo I (de 3): O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península","Borrow, George","{'Borrow, George, 1803-1881 -- Travel -- Spain', 'Spain -- Description and travel', 'Spain -- History -- 19th century'}"
45534,51020,"La Biblia en España, Tomo II (de 3): O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península","Borrow, George","{'Borrow, George, 1803-1881 -- Travel -- Spain', 'Spain -- Description and travel', 'Spain -- History -- 19th century'}"
45543,51029,Letras: Obras Completas Vol. VIII,"Darío, Rubén",{'Literature'}
45656,51130,"Tragicomedia de Lisandro y Roselia: llamada Elicia, y por otro nombre cuarta obra y tercera Celestina.","Muñón, Sancho de, active 1542","{'Spanish drama -- Classical period, 1500-1700'}"
46011,51450,La Sirena Negra,"Pardo Bazán, Emilia, condesa de","{'Death -- Fiction', 'Spanish fiction'}"
46019,51458,"Canto a la Argentina, Oda a Mitre y otros poemas: Obras Completas Vol. IX","Darío, Rubén",{'Nicaraguan poetry'}
46027,51465,"Comedia llamada Selvagia, Comedia Serafina","Villegas, Alonso de","{'Spanish drama -- Classical period, 1500-1700'}"
46142,51569,Poema del Otoño y otros poemas: Obras Completas Vol. XI,"Darío, Rubén",{'Nicaraguan poetry'}
46182,51604,Opiniones: Obras Completas Vol. X,"Darío, Rubén",{'Nicaraguan literature'}
46207,51627,Cuentos y crónicas: Obras Completas Vol. XIV,"Darío, Rubén",{'Nicaraguan literature'}
46275,51689,"La Biblia en España, Tomo III (de 3): O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península","Borrow, George","{'Borrow, George, 1803-1881 -- Travel -- Spain', 'Spain -- Description and travel', 'Spain -- History -- 19th century'}"
46301,51711,El Canto Errante: Obras Completas Vol. XVI,"Darío, Rubén",{'Nicaraguan poetry'}
46312,51721,De carne y hueso; cuentos,"Zamacois, Eduardo","{'Short stories, Spanish', 'Spanish fiction'}"
46315,51724,La Esfinge Maragata: Novela,"Espina, Concha",{'Spanish fiction -- 20th century'}
46463,51858,Los Contrastes de la Vida,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
46477,51870,Peregrinaciones: Obras Completas Vol. XII,"Darío, Rubén","{'Exposition universelle (1900 : Paris, France)', 'Paris (France) -- Social life and customs', 'Italy -- Description and travel'}"
46662,52036,Un año en quince minutos: pieza en un acto,"García González, Manuel",{'Spanish drama'}
46678,52050,Autobiografía: Obras Completas Vol. XV,"Darío, Rubén","{'Darío, Rubén, 1867-1916'}"
46725,52093,"Las Ilusiones del Doctor Faustino, v.1","Valera, Juan",{'Spanish fiction -- 19th century'}
46913,52262,Cuentos de la Alhambra,"Irving, Washington","{'Alhambra (Granada, Spain) -- Fiction', 'Irving, Washington, 1783-1859 -- Travel -- Spain', 'Spain -- Social life and customs -- Fiction', 'Alhambra (Granada, Spain)', 'Palaces -- Spain -- Granada', 'Spain -- Social life and customs', 'Palaces -- Spain -- Granada -- Fiction'}"
47057,52392,Miau,"Pérez Galdós, Benito",{'Spanish fiction -- 19th century'}
47142,52469,La Anexión de Puerto-Rico a los Estados Unidos de America,"Nieves, Juan B.",{'Puerto Rico -- Annexation to the United States'}
47175,52499,Cuestiones políticas y económicas,"Huergo, Palemón","{'Argentina -- Politics and government -- 1817-1860', 'Argentina -- Economic conditions'}"
47180,52502,La Igualdad Social y Política y sus Relaciones con la Libertad,"Arenal de García Carrasco, Concepción",{'Equality'}
47282,52595,"Quince minutos en globo: Disparate cómico-lírico-bailable en un acto, en prosa y verso","Barberá, Joaquín",{'Zarzuelas -- Librettos'}
47284,52597,Insolación y Morriña (Dos historias amorosas),"Pardo Bazán, Emilia, condesa de","{'Romance fiction, Spanish', 'Spanish fiction -- 19th century'}"
47379,52682,Historia de Gil Blas de Santillana: Novela (Vol 2 de 3),"Le Sage, Alain René","{'Blas, Gil (Fictitious character) -- Fiction', 'Adventure and adventurers -- Fiction'}"
47504,52795,"El libro rojo, 1520-1867, Tomo I","Riva Palacio, Vicente","{'Mexico -- History', 'Executions and executioners'}"
47551,52837,Libro intitulado El cortesano. Libro de motes de damas y caballeros,"Milán, Luis","{'Courtesy -- Early works to 1800', 'Courts and courtiers -- Early works to 1800'}"
47573,52857,Tierras Solares: Obras Completas Vol. III,"Darío, Rubén","{'Darío, Rubén, 1867-1916 -- Travel -- Spain -- Andalusia', 'Europe -- Description and travel', 'Darío, Rubén, 1867-1916 -- Travel -- Europe', 'Andalusia (Spain) -- Description and travel', 'Authors, Nicaraguan -- 20th century -- Travel'}"
47614,52894,Azul...: Obras Completas Vol. IV,"Darío, Rubén",{'Nicaraguan literature'}
47737,53003,La Veleta de Gastizar,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
47879,53131,Historia de las Indias (vol. 5 de 5),"Casas, Bartolomé de las","{'America -- Discovery and exploration -- Spanish -- Early works to 1800', 'Columbus, Christopher, 1451-1506 -- Early works to 1800', 'Spain -- Colonies -- America -- Early works to 1800', 'Indians, Treatment of -- Latin America -- Early works to 1800'}"
47923,53171,Historia de las Indias (vol. 3 de 5),"Casas, Bartolomé de las","{'America -- Discovery and exploration -- Spanish -- Early works to 1800', 'Columbus, Christopher, 1451-1506 -- Early works to 1800', 'Spain -- Colonies -- America -- Early works to 1800', 'Indians, Treatment of -- Latin America -- Early works to 1800'}"
47938,53185,"Colección de Documentos Inéditos Relativos al Descubrimiento, Conquista y Organización de las Antiguas Posesiones Españolas de Ultramar. Tomo 3, De Las Islas Filipinas, II",,"{'Philippines -- Discovery and exploration -- Spanish', 'Philippines -- History -- Sources', 'Spain -- Colonies'}"
47963,53207,Dramas de Guillermo Shakspeare [vol. 1],"Shakespeare, William","{'Shakespeare, William, 1564-1616 -- Translations into Spanish', 'English drama -- Translations into Spanish'}"
48059,53294,Recuerdos Del Tiempo Viejo,"Zorrilla, José","{'Zorrilla, José, 1817-1893'}"
48100,53330,Dafnis y Cloe; leyendas del antiguo Oriente (fragmentos),"Valera, Juan","{'Spanish literature', 'Daphnis (Greek mythology) -- Fiction'}"
48127,53355,La novela en el tranvía,"Pérez Galdós, Benito","{'Spanish fiction', 'Madrid (Spain) -- Fiction'}"
48183,53405,"El libro rojo, 1520-1867, Tomo II","Riva Palacio, Vicente","{'Mexico -- History', 'Executions and executioners'}"
48192,53413,Prosa Política (Las Repúblicas Americanas): Obras Completas Vol. XIII,"Darío, Rubén","{'America', 'Latin America -- Politics and government'}"
48201,53421,"Documentos para la historia del virreinato del Rio de la Plata, tomo 1",,{'Argentina -- History -- 1776-1810 -- Sources'}
48209,53429,El sabor de la tierruca,"Pereda, José María de",{'Spanish fiction -- 19th century'}
48217,53436,"Las Ilusiones del Doctor Faustino, v.2","Valera, Juan",{'Spanish fiction -- 19th century'}
48246,53462,"Discursos sobre el arte del dançado: y sus exelencias y primer origen, reprobando las acciones deshonestas","Esquivel Navarro, Juan de, active 17th century",{'Dance -- Early works to 1800'}
48307,53517,Los Caudillos de 1830,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction', 'Spain -- History -- Ferdinand VII, 1813-1833 -- Fiction'}"
48346,53552,Obras escogidas,"Bécquer, Gustavo Adolfo",{'Spanish literature -- 19th century'}
48384,53587,"El doncel de don Enrique el doliente, Tomo I (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de","{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}"
48385,53588,"El doncel de don Enrique el doliente, Tomo II (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de","{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}"
48386,53589,"El doncel de don Enrique el doliente, Tomo III (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de","{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}"
48388,53590,"El doncel de don Enrique el doliente, Tomo IV (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de","{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}"
48530,53718,"Revista de Filosofía, Año V - Nº 3 - May/1919: Cultura—Ciencias—Educación",Various,"{'Spanish literature -- Periodicals', 'Humanities -- Periodicals'}"
48556,53741,Recuerdos de Italia (parte 1 de 2),"Castelar, Emilio","{'Rome (Italy) -- Description and travel', 'Italy -- Description and travel'}"
48557,53742,Recuerdos de Italia (parte 2 de 2),"Castelar, Emilio","{'Rome (Italy) -- Description and travel', 'Italy -- Description and travel'}"
48558,53743,El misterio de un hombre pequeñito: novela,"Zamacois, Eduardo",{'Spanish fiction'}
48618,53798,Ranchos (Costumbres del Campo),"Viana, Javier de","{'Short stories, Uruguayan', 'Uruguayan fiction'}"
48662,53837,Antología de prosistas castellanos,,{'Spanish prose literature'}
48695,53867,Lira Póstuma: Obras Completas Vol. XXI,"Darío, Rubén",{'Nicaraguan poetry'}
48762,53927,"Apuntes biograficos de escritores, oradores y hombres de estado de la Republica Argentina","Gutiérrez, Juan María",{'Argentina -- Biography'}
48766,53930,"Parisiana: Obras Completas, Vol. V","Darío, Rubén",{'Nicaraguan literature'}
48784,53947,La señorita de Trevelez: Farsa cómica en tres actos,"Arniches y Barrera, Carlos","{'Spanish drama', 'Comedy plays'}"
48915,54064,La cruz en América (Arqueología Argentina),"Quiroga, Adán","{'Indians -- Religion', 'Crosses -- America', 'Diaguita Indians', 'America -- Antiquities', 'Indian mythology', 'Indian art'}"
48969,54112,Todo al Vuelo: Obras Completas Vol. XVIII,"Darío, Rubén",{'Nicaraguan literature'}
48978,54120,La Isabelina,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
49097,54228,El buey suelto... Cuadros edificantes de la vida de un solterón,"Pereda, José María de","{'Bachelors -- Fiction', 'Spanish fiction -- 19th century'}"
49157,54282,Socialismo y ciencia positiva (Darwin-Spencer-Marx),"Ferri, Enrico","{'Socialism', 'Spencer, Herbert, 1820-1903', 'Evolution'}"
49158,54283,"De Sobremesa; crónicas, Primera Parte (de 5)","Benavente, Jacinto",{'Spanish fiction -- 20th century'}
49160,54285,El Sabor de la Venganza,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
49272,54386,Paris en América,"Laboulaye, Édouard","{'United States -- Social life and customs -- 1783-1865', 'United States -- Description and travel'}"
49314,54423,Realidad: Novela en cinco Jornadas,"Pérez Galdós, Benito",{'Spanish drama'}
49322,54430,Las noches mejicanas,"Aimard, Gustave",{'French fiction -- Translations into Spanish'}
49328,54436,"Teatro selecto, tomo 1 de 4","Calderón de la Barca, Pedro","{'Spanish drama -- Classical period, 1500-1700'}"
49367,54471,"El Viaje a Nicaragua é Historia de mis libros: Obras Completas, Vol. XVII","Darío, Rubén",{'Nicaragua -- Description and travel'}
49423,54521,La Incógnita,"Pérez Galdós, Benito","{'Epistolary fiction', 'Spanish fiction -- 19th century'}"
49424,54522,La Muerte Del Cisne,"Reyles, Carlos",{'Essays'}
49722,54791,El Tesoro de Gastón: Novela,"Pardo Bazán, Emilia, condesa de",{'Spanish fiction -- 19th century'}
49800,54861,Torquemada en la cruz,"Pérez Galdós, Benito",{'Spanish fiction -- 19th century'}
49881,54934,España Contemporánea: Obras Completas Vol. XIX,"Darío, Rubén","{'Spain -- Social life and customs', 'Spain -- Description and travel', 'Spanish literature -- History and criticism'}"
49997,55038,"De Sobremesa; crónicas, Segunda Parte (de 5)","Benavente, Jacinto",{'Spanish fiction -- 20th century'}
50019,55058,La Puchera,"Pereda, José María de",{'Spanish fiction -- 19th century'}
50109,55139,Torquemada en el purgatorio,"Pérez Galdós, Benito",{'Spanish fiction -- 19th century'}
50129,55157,Las Furias,"Baroja, Pío","{'Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction'}"
50184,55206,Fábulas,"Samaniego, Félix María","{'Spanish poetry', 'Fables, Spanish'}"
50194,55215,Cuando la tierra era niña,"Hawthorne, Nathaniel","{'Mythology, Greek -- Juvenile literature', 'Mythology, Greek'}"
50444,55440,"Estudio descriptivo de los monumentos árabes de Granada, Sevilla y Córdoba: ó sea La Alhambra, el Alcázar y la Gran Mezquita de Occidente","Contreras, Rafael","{'Catedral (Córdoba, Spain)', 'Islamic art -- Spain', 'Alhambra (Granada, Spain)', 'Alcázar (Seville, Spain)', 'Islamic architecture -- Spain'}"
50452,55448,La media noche: visión estelar de un momento de guerra,"Valle-Inclán, Ramón del","{'World War, 1914-1918 -- Fiction'}"
50488,55480,"Granada, Poema Oriental, precedido de la Leyenda de al-Hamar, Tomo 1","Zorrilla, José",{'Granada (Spain) -- History -- Poetry'}
50526,55514,Cuentos de amor,"Pardo Bazán, Emilia, condesa de","{'Short stories, Spanish', 'Romance fiction, Spanish'}"
50580,55563,El amigo Manso,"Pérez Galdós, Benito",{'Spanish fiction -- 19th century'}
50639,55616,Prosa Dispersa: Obras Completas Vol. XX,"Darío, Rubén",{'Nicaraguan literature'}
50838,55796,Historia de Gil Blas de Santillana: Novela (Vol 3 de 3),"Le Sage, Alain René","{'Blas, Gil (Fictitious character) -- Fiction', 'Adventure and adventurers -- Fiction'}"
50857,55812,Cuentos de navidad y reyes; cuentos de la patria; cuentos antiguos,"Pardo Bazán, Emilia, condesa de","{'Short stories, Spanish', 'Spanish fiction'}"
50934,55882,La dama joven,"Pardo Bazán, Emilia, condesa de",{'Spanish fiction -- 19th century'}
50971,55915,Torquemada y San Pedro,"Pérez Galdós, Benito",{'Spanish fiction -- 19th century'}
50972,55916,Tres novelas ejemplares y un prólogo,"Unamuno, Miguel de","{'Spain -- Social life and customs -- Fiction', 'Spanish fiction'}"
50973,55917,"Teatro selecto, tomo 2 de 4","Calderón de la Barca, Pedro","{'Spanish drama -- Classical period, 1500-1700'}"
51078,56010,Las transformaciones de la sociedad argentina y sus consecuencias institucionales (1853 à 1910),"Rivarola, Horacio Carlos","{'Argentina -- Social conditions', 'Argentina -- Economic conditions'}"
51115,56044,Dulce Dueño,"Pardo Bazán, Emilia, condesa de",{'Spanish fiction -- 20th century'}
51118,56047,"Cabezas: Pensadores y Artistas, Políticos: Obras Completas Vol. XXII","Darío, Rubén","{'Latin America -- Biography', 'Spain -- Biography', 'Authors, Latin American -- Biography'}"
51123,56051,"Colección de Documentos Inéditos Relativos al Descubrimiento, Conquista y Organización de las Antiguas Posesiones Españolas de Ultramar. Tomo 1, Isla de Cuba",,"{'Spain -- Colonies', 'Latin America -- History -- Sources', 'America -- Discovery and exploration -- Spanish'}"
