,id_limpio,title,author,subjects
7075,16372,Fortuna,"Pérez Escrich, Enrique",{'Dogs -- Fiction'}
7121,16413,Arroz y tartana,"Blasco Ibáñez, Vicente",{'Spanish fiction'}
7199,16484,Juanita La Larga,"Valera, Juan","{'Andalusia (Spain) -- Fiction', 'Spanish fiction -- 19th century'}"
7355,16625,Clásicos Castellanos: Libro de Buen Amor,"Ruiz, Juan",{'Spanish poetry -- To 1500'}
7405,16670,La Catedral,"Blasco Ibáñez, Vicente","{'Catedral de Toledo -- Fiction', 'Toledo (Spain) -- Fiction'}"
7727,16961,Trafalgar,"Pérez Galdós, Benito","{'Trafalgar, Battle of, 1805 -- Fiction'}"
7786,17013,Fortunata y Jacinta: dos historias de casadas,"Pérez Galdós, Benito","{'Spain -- Social life and customs -- Fiction', 'Married women -- Fiction'}"
7852,17073,La Regenta,"Alas, Leopoldo","{'Married people -- Spain -- Fiction', 'Spain -- Social life and customs -- Fiction'}"
8019,17223,Pepita Jiménez,"Valera, Juan","{'Man-woman relationships -- Fiction', 'Seminarians -- Fiction', 'Spain -- Social life and customs -- 19th century -- Fiction', 'Widows -- Fiction'}"
8123,17317,Genio y figura,"Valera, Juan","{'Women -- Spain -- Fiction', 'Historical fiction', 'Spaniards -- Travel -- Fiction'}"
8146,17338,Doña Luz,"Valera, Juan","{'Spain -- Social life and customs -- 19th century -- Fiction', 'Young women -- Spain -- Fiction'}"
8149,17340,Marianela,"Pérez Galdós, Benito",{'Spanish fiction'}
8150,17341,Su único hijo,"Alas, Leopoldo",{'Fiction'}
8222,17406,Un viaje de novios,"Pardo Bazán, Emilia, condesa de",{'Spanish fiction'}
8249,17430,Morsamor: peregrinaciones heroicas y lances de amor y fortuna de; Miguel de Zuheros y Tiburcio de Simahonda,"Valera, Juan",{'Spanish fiction -- 19th century'}
8263,17443,Un faccioso más y algunos frailes menos,"Pérez Galdós, Benito",{'Spain -- History -- 19th century -- Fiction'}
8316,17491,La Tribuna,"Pardo Bazán, Emilia, condesa de","{'Political satire, Spanish', 'Spain -- Social life and customs -- Fiction'}"
8849,17974,"Filosofía Fundamental, Tomo III","Balmes, Jaime Luciano",{'Philosophy'}
8885,18005,Los pazos de Ulloa,"Pardo Bazán, Emilia, condesa de","{'Galicia (Spain : Region) -- Fiction', 'Clergy -- Fiction', 'Aristocracy (Social class) -- Fiction'}"
9053,18157,Fundación de la ciudad de Buenos-Aires,,"{'Buenos Aires (Argentina) -- History', 'Paraguay -- History -- To 1811 -- Sources', 'Garay, Juan de, 1528?-1583', 'Argentina -- History -- 1535-1617 -- Sources', 'America -- Early accounts to 1600'}"
9063,18166,Amistad funesta: Novela,"Martí, José","{'Fiction', 'Martí, José, 1853-1895'}"
9132,18228,El Mandarín,"Queirós, Eça de",{'Fiction'}
9199,18289,Diario de un viage a la costa de la mar Magallanica,"Lozano, Pedro","{'Patagonia (Argentina and Chile) -- Description and travel', 'Argentina -- Discovery and exploration'}"
9520,18580,Los favores del mundo,"Ruiz de Alarcón, Juan",{'Drama'}
9542,18600,Mi Ultimo Adiós,"Rizal, José",{'Poetry'}
9677,18723,Proyecto de traslacion de las fronteras de Buenos Aires al Rio Negro y Colorado,"Undiano y Gastelu, Sebastian","{'Cerro y Zamudio, José Santiago', 'Pampas (Argentina)', 'Argentina -- Discovery and exploration', 'Argentina -- Boundaries', 'Colorado River (Mendoza and Neuquén-Buenos Aires, Argentina)', 'Buenos Aires (Argentina : Province) -- Boundaries', 'Mountain passes -- Andes', 'Negro River (Río Negro, Argentina)'}"
9743,18783,Diario del viaje al rio Bermejo,"Morillo, Francisco","{'Gran Chaco -- Discovery and exploration', 'Bermejo River (Bolivia and Argentina) -- Discovery and exploration'}"
9744,18784,Itinerario de Buenos Aires a Cordoba,"Sourryère de Souillac, José","{'Buenos Aires (Argentina : Province) -- Description and travel', 'Argentina -- Discovery and exploration', 'Córdoba (Argentina : Province) -- Description and travel'}"
9759,18798,"Memoria dirigida al Sr. Marquez de Loreto, Virey y Capitan General de las Provincias del Rio de La Plata","Viedma, Francisco de","{'Patagonia (Argentina and Chile) -- History', 'Argentina -- History -- 1776-1810'}"
10099,19106,Reconocimiento del fuerte del Carmen del Rio Negro,"Cramer, Ambrosio","{'Carmen de Patagones (Argentina)', 'Negro River (Río Negro, Argentina)'}"
10527,19496,Diario de un reconocimiento de la guardia y fortines,"Azara, Félix de","{'Buenos Aires (Argentina : Province) -- Description and travel', 'Argentina -- History -- To 1810'}"
10579,19543,Memorias de un vigilante,"Alvarez, José S. (José Sixto)","{'Crime -- Argentina -- Buenos Aires', 'Criminals -- Argentina -- Buenos Aires'}"
10689,19643,Actas capitulares desde el 21 hasta el 25 de mayo de 1810 en Buenos Aires,Anonymous,"{'Argentina -- History -- War of Independence, 1810-1817'}"
10912,19847,Don Francisco de Quevedo: Drama en Cuatro Actos,"Sanz, Eulogio Florentino","{'Quevedo, Francisco de, 1580-1645 -- Drama'}"
10967,19898,La Edad de Oro: publicación mensual de recreo e instrucción dedicada a los niños de América.,"Martí, José","{""Children's literature, Cuban -- Periodicals""}"
11092,2000,Don Quijote,"Cervantes Saavedra, Miguel de","{'Romances', 'Knights and knighthood -- Spain -- Fiction', 'Spain -- Social life and customs -- 16th century -- Fiction', 'Picaresque literature'}"
11094,20011,Pequeñeces,"Coloma, Luis","{'Aristocracy (Social class) -- Spain -- 19th century -- Fiction', 'Spain -- Social conditions -- 1886-1939 -- Fiction'}"
11112,20029,"Las Fábulas de Esopo, Vol. 02","Townsend, George Fyler","{'Fables, Greek -- Translations into Spanish'}"
11189,20099,"Historia de la célebre Reina de España Doña Juana, llamada vulgarmente, La Loca",Anonymous,"{'Juana, la Loca, Queen of Castile, 1479-1555', 'Queens -- Spain -- Castile -- Biography'}"
11256,20159,Catálogo Instructivo de las Colecciones Mineralógicas,"Hermitte, Enrique Martín",{'Minerals -- Catalogs and collections'}
11526,20401,Viage al Rio de La Plata y Paraguay,"Schmidel, Ulrich","{'Indians of South America', 'Mendoza, Pedro de, 1487?-1537', 'America -- Discovery and exploration -- Spanish', 'Argentina -- History -- 1535-1617', 'Paraguay -- History -- To 1811', 'America -- Early accounts to 1600', 'Rio de la Plata (Argentina and Uruguay)'}"
12026,20852,"Descripcion del rio Paraguay, desde la boca del Xauru hasta la confluencia del Parana","Quiroga, José",{'Paraguay River'}
12029,20855,Estatuto de la L. F. (Liga Filipina),"Rizal, José",{'Liga Filipina'}
12112,20930,Cosmografía,"Guillemin, Amédée","{'Stars', 'Solar system'}"
12349,21143,"Las Fábulas de Esopo, Vol. 01","Townsend, George Fyler","{'Fables, Greek -- Translations into Spanish'}"
12350,21144,"Las Fábulas de Esopo, Vol. 03","Townsend, George Fyler","{'Fables, Greek -- Translations into Spanish'}"
12503,21282,Tradiciones peruanas,"Palma, Ricardo","{'Legends -- Peru', 'Peru -- History'}"
12913,21651,Los muertos mandan,"Blasco Ibáñez, Vicente","{'Majorca (Spain) -- Fiction', 'Spanish fiction'}"
13113,21831,Misericordia,"Pérez Galdós, Benito",{'Spanish fiction'}
13196,21906,Cádiz,"Pérez Galdós, Benito","{'Cádiz (Spain) -- History -- Fiction', 'Spain. Cortes (1810-1813) -- Fiction', 'Spain -- History -- Napoleonic Conquest, 1808-1813 -- Fiction'}"
13372,22065,An Elementary Spanish Reader,"Harrison, Earl Stanley",{'Spanish language -- Readers'}
13402,22092,Pasarse de listo,"Valera, Juan",{'Fiction'}
14297,22899,Ariel,"Rodó, José Enrique","{'Social ethics', 'Democracy'}"
14309,22909,La Novela de un Joven Pobre,"Feuillet, Octave",{'Young men -- France -- Fiction'}
14382,22975,La niña robada,"Conscience, Hendrik",{'Fiction'}
14450,23035,Quilito,"Ocantos, Carlos María",{'Fiction'}
14640,23206,La moza de cántaro,"Vega, Lope de",{'Spanish drama'}
14673,23236,Mare nostrum,"Blasco Ibáñez, Vicente",{'Spanish fiction'}
14676,23239,La copa de Verlaine,"Carrere, Emilio",{'Fiction'}
15078,23600,La gaviota,"Caballero, Fernán","{'Women -- Spain -- Fiction', 'Spanish fiction -- 19th century'}"
15096,23617,"Memoria histórica, geográfica, política y éconómica sobre la provincia de Misiones de indios guaranís","Doblas, Gonzalo de","{'Guarani Indians', 'Paraguay -- History -- To 1811', 'Jesuits -- Paraguay'}"
15165,2367,Los Bombardeos Atomicos de Hiroshima y Nagasaki,United States. Army. Corps of Engineers. Manhattan District,"{'Atomic bomb -- Physiological effect', 'Nagasaki-shi (Japan) -- History -- Bombardment, 1945', 'Hiroshima-shi (Japan) -- History -- Bombardment, 1945', 'Atomic bomb -- Blast effect'}"
15473,23957,Al primer vuelo,"Pereda, José María de",{'Spanish fiction -- 19th century'}
15557,24031,"El teatro por dentro: Autores, comediantes, escenas de la vida de bastidores, etc.","Zamacois, Eduardo","{'Dramatists', 'Theater -- History', 'Actresses'}"
15663,24127,Peñas arriba,"Pereda, José María de",{'Spanish fiction -- 19th century'}
15753,24208,"La nao Santa María: memória de la Comisión arqueológica ejecutiva, 1892",Spain. Comisión arqueológica ejecutiva,"{'Santa María (Ship : Replica)', 'Sailing ships -- Spain', 'America -- Centennial celebrations, etc.', 'Columbus, Christopher, 1451-1506'}"
15800,24250,Lecturas fáciles con ejercicios,"Wilkins, Lawrence A. (Lawrence Augustus)","{'Spanish language -- Readers', 'Spanish language -- Composition and exercises'}"
16039,24466,El intruso,"Blasco Ibáñez, Vicente","{'Labor -- Spain -- Vizcaya -- History -- Fiction', 'Socialism -- Spain -- País Vasco -- History -- Fiction', 'Nationalism -- Spain -- País Vasco -- History -- Fiction'}"
16117,24536,Los cuatro jinetes del apocalipsis,"Blasco Ibáñez, Vicente","{'World War, 1914-1918 -- Fiction', 'War stories', 'Spanish fiction'}"
16190,24601,El cuarto poder,"Palacio Valdés, Armando",{'Spanish fiction'}
16412,24801,El prisionero de Zenda,"Hope, Anthony","{'Adventure stories', 'British -- Foreign countries -- Fiction', 'Love stories', 'Kings and rulers -- Fiction', 'Impostors and imposture -- Fiction', 'Political kidnapping -- Fiction'}"
16413,24802,Honor de artista,"Feuillet, Octave",{'Fiction'}
16436,24823,Silas Marner,"Eliot, George","{'Domestic fiction', 'Weavers -- Fiction', 'Adopted children -- Fiction', 'England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Foundlings -- Fiction', 'Fathers and daughters -- Fiction'}"
16549,24925,Amar es vencer,"Caro, Pauline",{'French fiction -- Translations into Spanish'}
16618,24988,Amaury,"Dumas, Alexandre",{'Tuberculosis -- Fiction'}
16693,25054,Adriana Zumarán (novela),"Leumann, Carlos Alberto",{'Fiction'}
16715,25074,Novelas y cuentos,"Estébanez Calderón, Serafín",{'Spanish fiction -- 19th century'}
