,id_limpio,title,author,genre,subjects,genre_1,genre_2,genre_3
801,10506,"ROMANCE DE LOBOS, COMEDIA BARBARA","VALLE-INCLÁN, RAMÓN DEL",DRAMA / European,{'Spanish drama'},DRAMA,EUROPEAN,DRAMA
802,42424,SONATA DE ESTÍO: MEMORIAS DEL MARQUÉS DE BRADOMÍN,"VALLE-INCLÁN, RAMÓN DEL",FICTION / Literary,{'Spanish fiction -- 20th century'},FICTION,LITERARY,FICTION LITERARY
803,42440,SONATA DE PRIMAVERA: MEMORIAS DEL MARQUÉS DE BRADOMÍN,"VALLE-INCLÁN, RAMÓN DEL",FICTION / Literary,"{'Man-woman relationships -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Spanish fiction -- 20th century'}",FICTION,LITERARY,FICTION LITERARY
804,46182,SONATA DE OTOÑO; SONATA DE INVIERNO: MEMORIAS DEL MARQUÉS DE BRADOMÍN,"VALLE-INCLÁN, RAMÓN DEL",FICTION / Literary,{'Spanish fiction -- 20th century'},FICTION,LITERARY,FICTION LITERARY
805,55448,LA MEDIA NOCHE: VISIÓN ESTELAR DE UN MOMENTO DE GUERRA,"VALLE-INCLÁN, RAMÓN DEL",FICTION / War & Military,"{'World War, 1914-1918 -- Fiction'}",FICTION,WAR & MILITARY,FICTION OTHERS
806,58049,EL MARQUÉS DE BRADOMÍN: COLOQUIOS ROMÁNTICOS,"VALLE-INCLÁN, RAMÓN DEL",FICTION / Literary,{'Spanish drama'},FICTION,LITERARY,FICTION LITERARY
807,68154,TIRANO BANDERAS: NOVELA DE TIERRA CALIENTE,"VALLE-INCLÁN, RAMÓN DEL",FICTION / Political,"{'Imaginary revolutions -- Fiction', 'Imaginary societies -- Fiction', 'Dictators -- Fiction'}",FICTION,POLITICAL,FICTION OTHERS
808,68745,LUCES DE BOHEMIA: ESPERPENTO,"VALLE-INCLÁN, RAMÓN DEL",DRAMA / General,"{'Blind -- Drama', 'Spanish drama -- 20th century', 'Poverty -- Drama', 'Poets -- Drama'}",DRAMA,GENERAL,DRAMA
809,69951,DIVINAS PALABRAS : $B TRAGICOMEDIA DE ALDEA,"VALLE-INCLÁN, RAMÓN DEL",DRAMA / Tragedy,"{'Spanish drama -- 20th century', 'Tragicomedy'}",DRAMA,TRAGEDY,DRAMA
810,47346,"ESCRITOS POLÍTICOS, ECONÓMICOS Y LITERARIOS","VARELA, FLORENCIO",POLITICAL SCIENCE / Essays,"{'Argentina -- Politics and government -- 1817-1860', 'Argentina -- History -- 1817-1860', 'Argentine literature', 'Argentina -- Economic conditions'}",POLITICAL SCIENCE,ESSAYS,POLITICAL SCIENCE
811,53718,"REVISTA DE FILOSOFÍA, AÑO V - Nº 3 - MAY/1919: CULTURA—CIENCIAS—EDUCACIÓN",VARIOUS,PHILOSOPHY / General,"{'Spanish literature -- Periodicals', 'Humanities -- Periodicals'}",PHILOSOPHY,GENERAL,PHILOSOPHY
812,37382,LOS CURSOS,"VEBER, PIERRE",HUMOR / General,"{'One-act plays', 'Drama'}",HUMOR,GENERAL,OTHERS
813,26231,TRANSFUSIÓN,"VEDIA, ENRIQUE DE",FICTION / Literary,{'Spanish fiction -- 19th century'},FICTION,LITERARY,FICTION LITERARY
814,68131,OBRAS,"VEGA, GARCILASO DE LA",POETRY / European,"{'Spanish poetry -- Classical period, 1500-1700'}",POETRY,EUROPEAN,POETRY
815,23206,LA MOZA DE CÁNTARO,"VEGA, LOPE DE",DRAMA / European,{'Spanish drama'},DRAMA,EUROPEAN,DRAMA
816,28408,"COMEDIAS: EL REMEDIO EN LA DESDICHA; EL MEJOR ALCALDE, EL REY","VEGA, LOPE DE",DRAMA / Anthologies (multiple authors),{'Spanish drama'},DRAMA,ANTHOLOGIES (MULTIPLE AUTHORS),DRAMA
817,57035,COMEDIAS INÉDITAS,"VEGA, LOPE DE",DRAMA / European,"{'Spanish drama -- Classical period, 1500-1700'}",DRAMA,EUROPEAN,DRAMA
818,60198,FUENTE OVEJUNA,"VEGA, LOPE DE",DRAMA / European,"{'Fuenteovejuna (Spain) -- History -- Drama', 'Spanish drama -- Classical period, 1500-1700'}",DRAMA,EUROPEAN,DRAMA
